Region_id,City_id,Region_name
1,1,الامير
2,13,السلمانيه
3,13,الجعفره
4,1,العزبة البيضاء
5,1,عزبة عبيدو
6,1,عزبة علام
7,1,عزبة علاء الدين
8,1,الحفير
9,1,السقيلي
10,1,الزرايب
11,1,المعاجيني
12,1,البقوشي
13,1,اول السور
14,1,الرهبات
15,3,عزبة عامر
16,3,23يوليو
17,2,الشيخ منصور
18,2,الشيخ مليك
19,2,قصر نعمة
20,3,رشاح محمد نجيب
21,,عرب العيايده
22,,عزبه جورجي
23,,سيد حماده
24,1,بنزينه
25,1,ابوسعده
26,1,شارع البرنس
27,1,شارع8
28,1,الكرادسه الجامع والكنيسه
29,1,شارع الكنيسه
30,1,اشرف الفكهاني
31,1,شارع الصرف
32,2,امين حماده
33,,الرشاح
34,,الشيخ صبيح
35,,الشارع العمومي
36,,شارع الجسر
37,,عزبة علاء الدين
38,,شارع السوق الكبير
39,1,شارع الترب
