City_id,Governorate_id,City_name
1,1,الخصوص
2,2,المرج القديمة
3,2,المرج الجديدة
4,2,مسطرد
5,1,بهتيم
6,1,شبرا الخيمة
7,2,شبرا مصر
8,1,قليوب
9,2,عزبة النخل
10,2,عين شمس
11,2,عرب الطوايلة
12,1,منطي
13,1,بلقس
14,1,المريوطيه
15,1,سرياقوس
16,1,سته اكتوبر
17,1,ابو النمرس
18,1,طحا
19,1,شبين القناطر
20,2,السلام
21,1,العبور
22,2,مدينة نصر
23,2,حدائق القبة
24,1,موسسة الزكاه
25,1,الخانكة
26,1,أبو زعبل
27,1,النزهه
28,3,نهيا
29,3,فيصل
30,3,الطلبية
31,,الشربيه
32,2,مقطم
33,,المطريه
34,3,حلوان
35,3,المعتمديه
36,,اسماعليه
37,1,المنيه
38,1,طوخ
